регион,beta,lambda,k,r1,r2
Алтайский край,0.233636833296763,1.54204026323889,1.4161243560481,0.16443721664737,0.556823583385688
Амурская обл.,0.204803719337288,1.88725386378398,1.34649372843354,0.219161861252724,0.287779867008088
Архангельская обл.,0.129380402401943,2.75900955590806,1.3308788483292,0.117516172750091,0.839908337774735
Астраханская обл.,0.290158794173092,1.81283301305948,1.45018818895782,0.1778116148971,0.171113735757237
БелГ.ская обл.,0.179888374149931,1.99162234517323,1.20643050375817,0.176312871148413,0.721391480919945
Брянская обл.,0.266211651300737,1.48660432519888,1.48622394875983,0.256940062973113,0.253819239068233
Владимирская обл.,0.141003707341332,1.85396994012832,1.46736787584774,0.136238910383888,0.117481078261454
Волгоградская обл.,0.115434071631849,1.52625051384705,1.34653819839096,0.0633621772564607,0.613071342090587
Вологодская обл.,0.333042245097735,1.42657139699081,1.16445232282999,0.304445736639859,0.0549162400942067
Воронежская обл.,0.0784373995781033,2.35487859441268,1.24389715543981,0.0767403278941911,0.443180452680954
Г. Москва,0.225893637220227,1.27154123495075,1.13670111419076,0.144486680054844,0.208960622124913
Г. Санкт-Петербург,0.486758878112121,1.3976695572092,1.39240111453178,0.39006649608831,0.0826832976954566
Г. Севастополь,0.323760361725118,1.13338837647515,1.09778738024763,0.350979483547138,0.252121898648661
Дальневосточный,0.435863719946842,1.36356158362266,1.43712077546002,0.371031364183553,0.217733701025523
Еврейская Авт.обл.,0.0666464871916255,2.65334755077206,1.21469593154347,0.0517818808910393,0.246316349999889
Забайкальский край,0.429738117928866,1.19842813781812,1.13152318901198,0.409868886943744,0.0888442027421435
Ивановская обл.,0.437044021382879,1.30771352635448,1.31149787901941,0.410496442262395,0.500116594575497
Иркутская обл.,0.437323712219648,1.42972280704966,1.30511025535466,0.351112521896153,0.477150792046487
Каб.-Балкарская Р.,0.393763983832009,1.81567758137996,1.10332169668459,0.336872745559329,0.489663024835913
Калининградская обл.,0.112669305634276,1.10359124376588,1.16239490084014,0.116323924002898,0.509714428904267
Калужская обл.,0.119437333854415,1.6798124133806,1.03114716243811,0.0623783107652096,0.467955269997165
Камчатский край,0.314257864617785,2.41620356411327,1.12619564053498,0.347356084405262,0.702339130136174
Кар.-Черкесская Р.,0.137441463357782,2.05101482654664,1.41357947041636,0.106963791495618,0.914488174229552
Кемеровская обл.,0.342254261174609,1.9776561014583,1.03144041502175,0.294962319115152,0.0700784929298867
Кировская обл.,0.285274015181386,2.8287844477166,1.23271790620808,0.240330417066056,0.382899170915052
Костромская обл.,0.429915622865131,2.05071891069856,1.24048327775958,0.442664837264243,0.52885146878543
Краснодарский край,0.363697949575548,1.82019266299816,1.39041412854048,0.28489286688997,0.853009900722436
Красноярский край,0.188612759747461,1.92063447773926,1.4372000174839,0.102898121383684,0.995427636450522
Курганская обл.,0.214395943411828,1.69079206168284,1.21975271186569,0.181071191183698,0.737088880599813
Курская обл.,0.432285347990639,1.94570218325941,1.41279143590556,0.431160047564114,0.406111697523096
Ленинградская обл.,0.249815242550634,1.43203040563972,1.48280882897381,0.232761357407777,0.842346087969547
Липецкая обл.,0.355862687087531,2.98976474408539,1.30778793167483,0.328415864441254,0.300179540960447
Магаданская обл.,0.0549025207405046,2.86414011049919,1.39574135420558,0.050491648450675,0.8928509886985
Московская обл.,0.230220185680853,1.15281021484189,1.33562349209696,0.173023305554728,0.504518564873542
Мурманская обл.,0.136470925791906,1.46697731797787,1.12495751323163,0.125869688008034,0.802064375849992
Ненецкий АО,0.0383558063168057,2.16704698837765,1.28182027825059,0.0500519809960005,0.927965410066345
НижеГ.ская обл.,0.448023510221476,1.98654342185806,1.27386096322927,0.430357378090145,0.0909251627868297
НовГ.ская обл.,0.454456323016718,2.31240849594136,1.13951628880022,0.462653484019255,0.103765795355554
Новосибирская обл.,0.478896571963814,2.25542195417174,1.48023263247394,0.372297779283439,0.728545950205684
Омская обл.,0.405232657752661,2.69499083347864,1.41513908897079,0.41030944837738,0.132442401256462
Оренбургская обл.,0.142040054996387,1.24332839802894,1.40535564655465,0.187613395786244,0.174419768482882
Орловская обл.,0.341185109852717,1.57409520819977,1.44394107757986,0.384493734062463,0.430507415365086
Пензенская обл.,0.340682821908867,2.07645904305235,1.34486449075181,0.38392560765311,0.577296939814711
Пермский край,0.369220560952105,1.87773993375235,1.31472590437356,0.386699904976936,0.483413842888318
Приморский край,0.411480758900922,1.12738467275759,1.45554766161524,0.390587028661168,0.717257360292102
Псковская обл.,0.101601311743285,1.81778404689706,1.30170873712909,0.10040572405191,0.33608359645381
Р. Адыгея,0.171058759709058,1.7489315255914,1.2546366272814,0.180901673140395,0.808630156153262
Р. Алтай,0.0706632574342987,2.30120465587001,1.2617366792805,0.110379740851258,0.613433768652143
Р. Башкортостан,0.152721418004966,1.86128717145324,1.18731503241432,0.0958898089156775,0.152415304611104
Р. Бурятия,0.203733426906934,1.45453674613315,1.42346225284247,0.231893960470039,0.620435294413524
Р. Дагестан,0.280170665573806,1.16369930977967,1.40274075303759,0.226995179105553,0.179046767899272
Р. Ингушетия,0.409082172978526,1.02475793737596,1.18374411380562,0.360462530686813,0.16969152382395
Р. Калмыкия,0.155100419525697,1.46471336419913,1.29421698093426,0.177984905557186,0.938883681397699
Р. Карелия,0.0693219587619722,2.17275240302172,1.32521476968401,0.0687257852566009,0.693187707388468
Р. Коми,0.10775252456265,2.20464582835355,1.1211413204762,0.109109716069174,0.22045257057968
Р. Крым,0.419345396053596,1.1067630755304,1.43584780002655,0.495652892172093,0.106135597071485
Р. Марий Эл,0.12840346793715,1.58552194623089,1.3763215534302,0.112116848890631,0.447879320133584
Р. Мордовия,0.305520922966775,1.40032812280084,1.05407969201437,0.318498282252915,0.443343519724194
Р. Саха (Якутия),0.14851355581581,1.3770616168686,1.2753136889436,0.0783678769282221,0.447727498356022
Р. Северная Осетия-Алания,0.2823903454761,1.2505716203657,1.04792450066568,0.26493612955531,0.244072857858334
Р. Татарстан,0.235505994210423,1.40652137966309,1.04931864662659,0.216971400412608,0.0807174473949856
Р. Тыва,0.177188100635007,2.01466769530443,1.34980180994131,0.164553546969259,0.603751729835127
Р. Хакасия,0.439923556348598,2.92720069618343,1.46222561290258,0.523807569140589,0.514656116392929
Ростовская обл.,0.27398552461367,1.50866038298031,1.31748149973952,0.238286018414467,0.729617723850223
Рязанская обл.,0.26374378135841,1.2363635417205,1.48030961273749,0.286498268288743,0.193213277942571
Самарская обл.,0.319766692407784,1.41589734240677,1.37216768142627,0.319539832166577,0.0975315137706791
Саратовская обл.,0.118163792067454,1.42719976892415,1.27548584498836,0.103152593688088,0.52644391882139
Сахалинская обл.,0.0525750331758471,2.32031557995319,1.4224650392114,0.0500607489820431,0.577102062922518
Свердловская обл.,0.183850963066819,1.23170428963865,1.48231830340091,0.143823361712433,0.221224690908457
Смоленская обл.,0.256915358325811,1.86971369879421,1.43258212474692,0.240445194983989,0.183151495653798
Ставропольский край,0.330827204139536,2.56262079536338,1.40005812998734,0.315052117686463,0.838347508366281
Тамбовская обл.,0.35929084173982,1.54705407878428,1.42449396970766,0.375376840265559,0.351467574206481
Тверская обл.,0.242892022831109,1.34953419844559,1.22894430726143,0.242932129934375,0.788776962805104
Томская обл.,0.307747151262722,3.33879972636832,1.10907347123955,0.304135588607849,0.230385730695457
Тульская обл.,0.460214779593362,1.22392597676644,1.34974956391659,0.483387193620567,0.972672213126445
Тюменская обл.,0.195073961096676,0.0557881453061115,1.48964520440638,0.161672164866163,0.867858196339454
Удмуртская Р.,0.454928117786949,1.76554880780675,1.27428209723163,0.432853538918984,0.598968127761172
Ульяновская обл.,0.233447459383481,1.36126804214072,1.47628510227022,0.264805109284704,0.630036805092146
Х.-Мансийский АО,0.324703633553534,1.26482704876536,1.20327469443304,0.446432713575504,0.187376140759286
Хабаровский край,0.435142576104573,1.85082897195362,1.07771149323662,0.389983860204924,0.800801553206727
Челябинская обл.,0.47763104685709,1.3632932352469,1.43633360787939,0.48738114991019,0.736271631279169
Чеченская Р.,0.0582074444533088,1.69237367914562,1.16351924258815,0.170317649930332,0.229075309288396
Чувашская Р.,0.145029463009978,2.01837550608976,1.17123183830699,0.117921655478019,0.363472817639799
Чукотский АО,0.0583010296047365,2.35769475655793,1.158270800944,0.0504519477319833,0.842656891568058
Ям.-Ненецкий АО,0.423299334205679,1.44112504787654,1.1162511527123,0.491570710866618,0.116249466119611
Ярославская обл.,0.454119235387766,1.73755663646732,1.3560290805803,0.401759335303156,0.655433478010135
